"e","a","q","i"
0.0651,2.712,2.536,9.30
0.1574,2.752,2.318,8.45
0.1225,3.17,2.782,1.55
0.1034,3.021,2.709,11.11
0.2367,2.711,2.069,10.25
0.2765,2.748,1.988,17.98
0.1313,2.443,2.122,10.99
0.1204,3.379,2.972,4.89
0.0892,3.133,2.854,9.26
0.1687,2.881,2.395,18.40
0.1796,2.66,2.182,1.29
0.1188,3.422,3.015,1.82
0.2430,2.41,1.825,5.23
0.1565,2.401,2.025,10.58
0.1100,3.016,2.684,9.83
0.2390,2.252,1.714,5.68
0.1267,2.555,2.231,15.00
0.1919,2.989,2.416,10.20
0.1543,3.111,2.631,5.30
0.1919,2.75,2.223,6.15
0.0770,3.014,2.782,11.02
0.0876,3.229,2.946,3.67
0.0346,3.213,3.102,21.89
0.2207,2.613,2.037,30.01
0.1599,3.171,2.664,8.25
0.2337,2.373,1.819,10.72
0.1285,2.43,2.118,7.58
0.0647,3.041,2.845,1.63
0.1660,2.336,1.948,24.96
0.1483,5.21,4.437,10.32
0.0402,3.136,3.010,10.80
0.0801,2.999,2.759,11.17
0.2090,2.68,2.120,12.45
0.1343,3.022,2.616,10.18
0.2173,2.697,2.111,16.91
0.3539,2.63,1.699,32.54
0.0651,3.211,3.002,17.83
0.1624,2.928,2.452,14.66
0.1441,2.672,2.287,12.80
0.2511,2.759,2.066,12.23
0.2931,2.773,1.960,16.72
0.0551,2.66,2.513,10.20
0.1043,3.132,2.805,16.15
0.2514,3.081,2.307,15.11
0.1731,2.538,2.099,8.03
0.1926,3.153,2.546,4.42
0.1364,3.003,2.593,19.64
0.2213,2.587,2.014,8.60
0.0768,2.852,2.633,10.09
0.1245,3.022,2.645,9.37
0.0388,3.087,2.967,4.19
0.2520,3.096,2.316,12.60
0.1235,2.977,2.609,13.45
0.2591,3.152,2.335,20.96
0.0564,2.921,2.756,7.67
0.1084,2.695,2.402,7.02
0.1107,2.631,2.340,2.76
0.0602,2.553,2.400,14.96
0.1399,5.209,4.480,22.06
0.0692,3.192,2.971,17.05
0.0752,2.519,2.330,13.81
0.1343,2.436,2.109,7.74
0.1362,3.124,2.698,2.30
0.2437,2.414,1.826,8.64
0.1113,2.462,2.188,14.12
0.0230,5.271,5.149,18.15
0.2278,2.645,2.043,12.08
0.2419,2.575,1.952,25.38
0.0587,2.899,2.729,6.47
0.0433,2.581,2.470,11.52
0.1600,3.13,2.629,9.24
0.1126,2.623,2.328,13.87
0.0842,2.792,2.557,18.90
0.1914,2.662,2.152,2.22
0.0841,3.017,2.764,10.90
0.1811,3.051,2.498,12.29
0.0784,3.144,2.897,11.01
0.1694,2.912,2.419,7.93
0.1187,3.191,2.812,0.25
0.1618,2.732,2.290,7.71
0.1080,3.016,2.690,8.56
0.0787,3.161,2.912,13.37
0.1288,2.219,1.934,1.71
0.1281,3.185,2.777,8.17
0.0568,3.358,3.168,13.77
0.1537,2.6,2.200,1.04
0.1389,3.213,2.766,7.07
0.2129,2.326,1.831,6.90
0.1929,2.442,1.971,7.32
0.2025,3.195,2.548,9.87
0.2789,2.546,1.836,12.72
0.1850,2.458,2.004,2.56
0.1020,3.026,2.718,10.76
0.1265,2.555,2.232,15.73
0.0442,3.012,2.879,11.29
0.2309,2.297,1.767,18.09
0.0838,2.991,2.740,6.51
0.1328,3.148,2.730,0.52
0.1133,2.611,2.315,10.24
0.0625,2.854,2.676,1.50
0.1167,5.168,4.565,4.52
0.1073,2.533,2.261,15.20
0.0381,3.015,2.900,9.25
0.2158,2.553,2.002,4.12
0.1461,3.072,2.623,17.89
0.2330,3.2,2.455,8.58
0.1722,3.142,2.600,14.75
0.2366,2.595,1.981,7.58
0.1891,3.186,2.584,25.39
0.2349,2.795,2.138,6.84
0.0756,3.011,2.783,10.79
0.1923,2.804,2.265,7.54
0.0643,3.1,2.901,8.02
0.1348,2.557,2.212,11.11
0.0085,2.813,2.790,2.88
0.1945,2.923,2.355,13.51
0.2048,2.767,2.201,9.81
0.1220,3.062,2.689,12.84
0.0494,2.954,2.808,8.49
0.2203,2.572,2.005,6.10
0.3097,2.587,1.786,24.40
0.2961,3.143,2.212,17.52
0.1006,3.108,2.795,12.57
0.1734,2.653,2.193,11.51
0.0584,3.116,2.934,18.52
0.0345,2.432,2.348,5.52
0.1961,2.236,1.797,3.65
0.2684,2.588,1.894,15.69
0.2719,2.722,1.982,14.88
0.1385,2.699,2.325,10.24
0.2296,2.315,1.784,5.74
0.1768,3.15,2.593,11.24
0.1241,3.009,2.635,13.02
0.1689,3.382,2.811,26.08
0.0303,2.944,2.855,14.19
0.3233,2.671,1.808,15.90
0.1604,2.539,2.132,13.85
0.2491,3.174,2.383,13.02
